Training Accuracy,Testing Accuracy,Time Taken
0.23333333333333334,0.13333333333333333,0.02
0.3333333333333333,0.3333333333333333,11.84
0.3333333333333333,0.3333333333333333,19.73
0.3333333333333333,0.3333333333333333,27.07
0.3333333333333333,0.3333333333333333,34.32
0.3333333333333333,0.3333333333333333,41.81
0.3333333333333333,0.3333333333333333,49.07
0.6416666666666667,0.5666666666666667,56.31
0.65,0.6,63.58
0.6583333333333333,0.6333333333333333,70.88
0.6583333333333333,0.6333333333333333,78.23
0.6583333333333333,0.6333333333333333,85.48
0.6583333333333333,0.6333333333333333,92.8
0.6583333333333333,0.6333333333333333,100.03
0.6583333333333333,0.6333333333333333,107.42
0.6583333333333333,0.6333333333333333,114.67
0.6583333333333333,0.6333333333333333,124.31
0.6583333333333333,0.6333333333333333,133.92
0.6583333333333333,0.6333333333333333,142.2
0.6583333333333333,0.6333333333333333,150.64
0.6583333333333333,0.6333333333333333,161.84
0.6583333333333333,0.6333333333333333,175.61
0.6583333333333333,0.6333333333333333,185.09
0.6583333333333333,0.6333333333333333,194.13
0.6583333333333333,0.6333333333333333,203.67
0.6583333333333333,0.6333333333333333,215.99
0.6583333333333333,0.6333333333333333,227.01
0.6583333333333333,0.6333333333333333,238.51
0.6583333333333333,0.6333333333333333,251.26
0.6583333333333333,0.6333333333333333,266.28
0.6583333333333333,0.6333333333333333,276.65
0.6583333333333333,0.6333333333333333,287.19
0.6583333333333333,0.6333333333333333,303.14
0.6583333333333333,0.6333333333333333,317.52
0.6583333333333333,0.6333333333333333,328.67
0.6583333333333333,0.6333333333333333,339.78
0.6583333333333333,0.6333333333333333,354.88
0.6583333333333333,0.6333333333333333,370.55
0.6583333333333333,0.6333333333333333,381.32
0.6583333333333333,0.6333333333333333,391.17
0.6583333333333333,0.6333333333333333,405.7
0.6583333333333333,0.6333333333333333,417.6
0.6583333333333333,0.6333333333333333,432.86
0.6583333333333333,0.6333333333333333,450.6
0.6583333333333333,0.6333333333333333,463.27
0.6583333333333333,0.6333333333333333,474.89
0.6583333333333333,0.6333333333333333,485.9
0.6583333333333333,0.6333333333333333,501.09
0.6583333333333333,0.6333333333333333,518.18
0.6583333333333333,0.6333333333333333,528.4
0.6583333333333333,0.6333333333333333,541.05
0.6583333333333333,0.6333333333333333,552.38
0.6583333333333333,0.6333333333333333,563.67
0.6583333333333333,0.6333333333333333,576.82
0.6583333333333333,0.6333333333333333,593.36
0.6583333333333333,0.6333333333333333,607.24
0.6583333333333333,0.6333333333333333,623.22
0.6583333333333333,0.6333333333333333,643.62
0.6583333333333333,0.6333333333333333,658.7
0.6583333333333333,0.6333333333333333,667.94
